Company,Fiscal_Year,Total_Revenue,Net_Income,Total_Assets,Total_Liabilities,Cash_Flow_Ops
Microsoft,2025,281724.0,101832.0,619003.0,275524.0,136162.0
Microsoft,2024,245122.0,88136.0,512163.0,243686.0,118548.0
Microsoft,2023,211915.0,72361.0,411976.0,205753.0,87582.0
Apple,2025,416161.0,112010.0,359241.0,285508.0,111482.0
Apple,2024,391035.0,93736.0,364980.0,308030.0,118254.0
Apple,2023,383285.0,96995.0,352756.0,290437.0,110543.0
Tesla,2025,94827.0,3855.0,137806.0,54941.0,14747.0
Tesla,2024,97690.0,7153.0,122070.0,48390.0,14923.0
Tesla,2023,96773.0,14974.0,106618.0,43009.0,13256.0
